person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Marco|Ogliengo|Jet HR|Founder|||true|
Francesco|Scalambrino|Jet HR|Founder|||true|
Matteo|Cera|Glaut|Founder|||true|
Giovanni|Dal Gallo|Glaut|Founder|||true|
Nicolò|Mazzocchi|Skillvue|Founder|||true|
Simone|Patera|Skillvue|Founder|||true|
Giorgia|Caruso|Salupay|Founder|||true|
Marco|Sanpellegrini|Salupay|Founder|||true|
Edoardo|Tarricone|Complaion|Founder|||true|
Marco|Cortinovis|Complaion|Founder|||true|
Edoardo|Arbizzi|Compri|Founder|||true|
Edoardo|Gava|Compri|Founder|||true|
Renato|Ciri|Sava|Founder|||true|
Rafaël|Michali|Sava|Founder|||true|
Stefano|Pellegrino|Aquila|Founder|||true|
Andrea|Mach|Peekz|Founder|||true|
Alex|Culebras|Peekz|Founder|||true|
Gabriele|Franco|Cassandra|Founder|||true|
Cristian|Nozzi|Cassandra|Founder|||true|
Luca|Cozzarini|Brum|Founder|||true|
Mattia|Mauro|Excellence Learning|Founder|||true|
Mark|Lundwall|Excellence Learning|Founder|||true|
Alexis|Bonnafont|Excellence Learning|Founder|||true|
Stefano|Fumi|TaDa|Founder|||true|
Giuseppe|Teatino|TaDa|Founder|||true|
Federico|Ungolo|TaDa|Founder|||true|
Giuseppe|Faraci|ReportAId|Founder|||true|
Claudio|Caletti|ReportAId|Founder|||true|
Luca|Foresti|ReportAId|Founder|||true|
