investor_name,investor_type,startup_name,round_stage,round_date,amount,valuation_pre,valuation_post,is_lead_investor,board_seats,equity_percentage
Exor Ventures,VC_Fund,AcousticaBio,,,,,,,,
Exor Ventures,VC_Fund,Agora Labs,,,,,,,,
Exor Ventures,VC_Fund,Allelica,,,,,,,,
Exor Ventures,VC_Fund,Almanax,,,,,,,,
Exor Ventures,VC_Fund,Anthropos,,,,,,,,
Exor Ventures,VC_Fund,ARCA Dynamics,,,,,,,,
Exor Ventures,VC_Fund,Arke,,,,,,,,
Exor Ventures,VC_Fund,Bee AI,,,,,,,,
Exor Ventures,VC_Fund,BizAway,,,,,,,,
Exor Ventures,VC_Fund,BonusX,,,,,,,,
Exor Ventures,VC_Fund,Bricks AI,,,,,,,,
Exor Ventures,VC_Fund,Bridge Logistica,,,,,,,,
Exor Ventures,VC_Fund,BugPilot,,,,,,,,
Exor Ventures,VC_Fund,Byzantine Finance,,,,,,,,
Exor Ventures,VC_Fund,Cariga,,,,,,,,
Exor Ventures,VC_Fund,Cassandra,,,,,,,,
Exor Ventures,VC_Fund,Circlemind,,,,,,,,
Exor Ventures,VC_Fund,Complaion,,,,,,,,
Exor Ventures,VC_Fund,CraneBio,,,,,,,,
Exor Ventures,VC_Fund,CyLock,,,,,,,,
Exor Ventures,VC_Fund,DBSpace,,,,,,,,
Exor Ventures,VC_Fund,Deckx,,,,,,,,
Exor Ventures,VC_Fund,Desia Limited,,,,,,,,
Exor Ventures,VC_Fund,Diode,,,,,,,,
Exor Ventures,VC_Fund,Dorian Therapeutics,,,,,,,,
Exor Ventures,VC_Fund,DSCOVR,,,,,,,,
Exor Ventures,VC_Fund,Enaptiq,,,,,,,,
Exor Ventures,VC_Fund,Endpoint,,,,,,,,
Exor Ventures,VC_Fund,Eoliann,,,,,,,,
Exor Ventures,VC_Fund,Ephos,,,,,,,,
Exor Ventures,VC_Fund,eSteps,,,,,,,,
Exor Ventures,VC_Fund,Flami,,,,,,,,
Exor Ventures,VC_Fund,Focoos AI,,,,,,,,
Exor Ventures,VC_Fund,Foreverland,,,,,,,,
Exor Ventures,VC_Fund,Futura,,,,,,,,
Exor Ventures,VC_Fund,Glaider,,,,,,,,
Exor Ventures,VC_Fund,Grantzy,,,,,,,,
Exor Ventures,VC_Fund,Hale,,,,,,,,
Exor Ventures,VC_Fund,Hivebound,,,,,,,,
Exor Ventures,VC_Fund,Holifya,,,,,,,,
Exor Ventures,VC_Fund,Ilios Therapeutics,,,,,,,,
Exor Ventures,VC_Fund,Impssbl,,,,,,,,
Exor Ventures,VC_Fund,Jet HR,,,,,,,,
Exor Ventures,VC_Fund,JustSolve,,,,,,,,
Exor Ventures,VC_Fund,Katakem,,,,,,,,
Exor Ventures,VC_Fund,Lexroom.ai,,,,,,,,
Exor Ventures,VC_Fund,Leasy,,,,,,,,
Exor Ventures,VC_Fund,Liqi,,,,,,,,
Exor Ventures,VC_Fund,Lupa,,,,,,,,
Exor Ventures,VC_Fund,MicroSignals,,,,,,,,
Exor Ventures,VC_Fund,Mirta,,,,,,,,
Exor Ventures,VC_Fund,mkm,,,,,,,,
Exor Ventures,VC_Fund,Moligo Technologies,,,,,,,,
Exor Ventures,VC_Fund,Nebuly,,,,,,,,
Exor Ventures,VC_Fund,NOVA,,,,,,,,
Exor Ventures,VC_Fund,Otter,,,,,,,,
Exor Ventures,VC_Fund,Pandas AI,,,,,,,,
Exor Ventures,VC_Fund,Peoplerank,,,,,,,,
Exor Ventures,VC_Fund,Planckian,,,,,,,,
Exor Ventures,VC_Fund,Plino,,,,,,,,
Exor Ventures,VC_Fund,Qomodo,,,,,,,,
Exor Ventures,VC_Fund,Range Biotechnologies,,,,,,,,
Exor Ventures,VC_Fund,Relief,,,,,,,,
Exor Ventures,VC_Fund,RELLAI,,,,,,,,
Exor Ventures,VC_Fund,Relyant,,,,,,,,
Exor Ventures,VC_Fund,Renaissance Fusion,,,,,,,,
Exor Ventures,VC_Fund,SAEKI,,,,,,,,
Exor Ventures,VC_Fund,Salupay,,,,,,,,
Exor Ventures,VC_Fund,Samaya AI,,,,,,,,
Exor Ventures,VC_Fund,Scalestack,,,,,,,,
Exor Ventures,VC_Fund,ScienceMachine,,,,,,,,
Exor Ventures,VC_Fund,Serenis,,,,,,,,
Exor Ventures,VC_Fund,Sibill,,,,,,,,
Exor Ventures,VC_Fund,Soource,,,,,,,,
Exor Ventures,VC_Fund,Storykube,,,,,,,,
Exor Ventures,VC_Fund,Syllotips,,,,,,,,
Exor Ventures,VC_Fund,TextYess,,,,,,,,
Exor Ventures,VC_Fund,Theta,,,,,,,,
Exor Ventures,VC_Fund,ToffeeX,,,,,,,,
Exor Ventures,VC_Fund,Toolhouse,,,,,,,,
Exor Ventures,VC_Fund,Unakin,,,,,,,,
Exor Ventures,VC_Fund,ViaVia,,,,,,,,
Exor Ventures,VC_Fund,Volta,,,,,,,,
Exor Ventures,VC_Fund,Wayfinder,,,,,,,,
Exor Ventures,VC_Fund,Zefi,,,,,,,,
Exor Ventures,VC_Fund,Ziflo,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Alceus,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Always Friday,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Aquila,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Atelico,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Calmo,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Clev,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Combinely,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Cua,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Cyberwave,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Debto,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Eloquent AI,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Excellence,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Flashka,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Gamindo,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Hisy,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Homepay,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Hypesound,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Interpret AI,,,,,,,,
Vento Ventures Fund 2,VC_Fund,IronGrid,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Kalipso,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Klaris,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Lexroom,,,,,,,,
Vento Ventures Fund 2,VC_Fund,mcp-use,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Mimic,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Notte,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Nucleo,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Orama,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Orobi,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Perpethua,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Pillar,,,,,,,,
Vento Ventures Fund 2,VC_Fund,PlexeAI,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Poelis,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Qura,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Rarearth,,,,,,,,
Vento Ventures Fund 2,VC_Fund,ReportAId,,,,,,,,
Vento Ventures Fund 2,VC_Fund,SAVA,,,,,,,,
Vento Ventures Fund 2,VC_Fund,ScrapeGraphAI,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Silverstream,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Sqwish,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Syntropic Medical,,,,,,,,
Vento Ventures Fund 2,VC_Fund,The Bland Company,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Trismik,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Tundr,,,,,,,,
Vento Ventures Fund 2,VC_Fund,ValueMate,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Veliu,,,,,,,,
Vento Ventures Fund 2,VC_Fund,VibeFlow,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Waveful,,,,,,,,
Vento Ventures Fund 2,VC_Fund,Wayd,,,,,,,,
