name|description|website|founded_year|stage|sector|business_model|headquarters|employee_count|status|total_funding|last_funding_date|exit_date|exit_value
GetPica|La soluzione che ridefinisce l'esperienza fotografica negli eventi|https://getpica.com/||Seed|Consumer Tech|SaaS|Italy||active||||
Green Future Project|Sustainable technology solutions for environmental challenges|||Seed|Energy & CleanTech|SaaS|Italy||active||||
Daze|Digital platform for modern experiences|||Seed|Consumer Tech|SaaS|Italy||active||||
BeSafe|Safety and security technology platform|||Seed|Enterprise Software|SaaS|Italy||active||||
Aryel|Augmented Reality platform for marketing and advertising|https://www.aryel.io/||Seed|MarTech|SaaS|Italy||active||||
Sharewood|Platform for sharing and collaboration|||Seed|Enterprise Software|SaaS|Italy||active||||
Ring33|AI-powered communication and interaction platform|||Seed|AI & Machine Learning|SaaS|Italy||active||||
Ponyu|Digital platform for business optimization|||Seed|Enterprise Software|SaaS|Italy||active||||
Plentiness|Marketplace platform connecting businesses and consumers|||Seed|Retail & E-commerce|Marketplace|Italy||active||||
JetHR|Digital payroll management and HR processes for SMBs|https://www.jethr.com/||Seed|HR Tech|SaaS|Italy||active||||
Hygge|E-commerce platform for lifestyle and wellness products|||Seed|Retail & E-commerce|B2C|Italy||active||||
Hercle|Blockchain-based platform for digital transformation|||Seed|FinTech|B2B|Italy||active||||
Factanza|Media platform for information and news distribution|https://factanza.it/||Seed|Media & Entertainment|SaaS|Italy||active||||
